upstream_base	a5a61806e434ef22141b622db989087fbba8ed21	upstream_head	1d507dad90812cd0873b151aac60ad7bff5127b6	local_head	6e98b45cb (worktree has concurrent changes; ddnet-libs fork 24a9a5e3c22f)
commit	date	subject	patch_equivalence	disposition	module	dependencies	notes	validation
5cd3754982cb9cd60bf3a6feb008766bc80fb882	2026-08-14	Allow passing `all` as argument to `kick`	candidate	covered-equivalent	server console		Local e44c70b62 uses victim parsing and supports kick all.	Source audit
a91bf68a34ecd5af4ef3f4161fe3d3a615237915	2026-08-14	Change default to 128 players in autoexec_server.cfg	candidate	covered-equivalent	server config		`data/autoexec_server.cfg` already defaults `sv_max_clients 128`; reachable local commit `54ec87f53`.	Source audit
5dd7366484e53e09c0e5949b937971a5ce984563	2026-08-12	server: Support clients based on old DDNet	exact-patch-equivalent	covered-equivalent	protocol/player mapping		Local 128-player baseline includes old-DDNet compatibility (`01bbf415e`) and subsequent mapping/timeout repairs; retain mixed 0.6/0.7/128 runtime validation gap.	Source audit; mixed-session runtime pending
7879324b87b52073950dc240122fe8640ddb6159	2026-08-14	Allow passing `all` as argument to `kick` (#12602)	merge-commit	covered-by-5cd375498	server console	5cd375498	Merge wrapper covered by local equivalent.	No separate cherry-pick
51b63860a0a45809bbfc56c8d38a3d75da0bae95	2026-08-13	server: Build each player's CNetObj_ClientInfo only when it changes	exact-patch-equivalent	covered-equivalent	server/player snapshot		Current CPlayer caches CNetObj_ClientInfo and CGameContext invalidates it through OnClientInfoChange; local 54ec87f53 retains the behavior.	Source and history audit
adac08c6c4c32a849cae4ae64b5e82f7219ad38d	2026-08-13	shared: Inline CVariableInt::Pack	candidate	covered-equivalent	shared/compression		`CVariableInt::Pack` is already inline in `compression.h`; `compression.cpp` no longer owns the definition. Reachable local commit `54ec87f53`.	Source audit
09acd3bf6d6a11dddafdc9717c9c8ce65b7b7f92	2026-08-13	server: Ask which dragger beam uses the dragger id when snapping	exact-patch-equivalent	covered-equivalent	server/dragger		Current DraggerBeamUsingDraggerId eliminates the per-snapshot MAX_CLIENTS scan; local 54ec87f53 retains the behavior.	Source and history audit
cd9a8cda95ee15191ca711875671548c197a85f3	2026-08-14	server: Support clients based on old DDNet (#12580)	merge-commit	covered-equivalent	protocol/player mapping	5dd736648	Merge wrapper; underlying old-DDNet support is covered by the existing 128-player baseline, pending mixed-session runtime validation.	No separate cherry-pick
762732489372a5ec376f7c2fc47cd03919f98c43	2026-08-14	Fix ineffective alpha-based visibility check for quad layers	exact-patch-equivalent	covered-equivalent	map/quad visibility		Current HEAD contains the same alpha-positive check via reachable `4d4bc50f5`, with local follow-up `fad6610c1`.	Source history and current-source audit
05ab16f91ac4c7e7b6016b2450bce80d1e719809	2026-08-13	Fix debug graphs not showing negative maximum value correctly	exact-patch-equivalent	covered-equivalent	client/debug graph		Current HEAD contains upstream-equivalent `2cf799930`; max initialization uses `numeric_limits<float>::lowest()`.	Source history and current-source audit
945456bd1d071e0853a56946afa8cfbb60aa2998	2026-08-14	Fix incorrect quad clipping with negative offsets	exact-patch-equivalent	covered-equivalent	map/quad clipping		Current HEAD contains upstream-equivalent `79ef57d15`; clipping maxima use `numeric_limits<float>::lowest()`.	Source history and current-source audit
59fd7d47409ed7d2926d11c39be390a9a937faf4	2026-08-14	Fix ineffective alpha-based visibility check for quad layers (#12604)	merge-commit	covered-by-4d4bc50f5	map/quad visibility	762732489	Merge wrapper; the underlying fix and local follow-up are reachable from HEAD.	No separate cherry-pick
9422d4a0c9828ccb21bcbf4679ba747548b6eff6	2026-08-14	Fix debug graphs not showing negative maximum value correctly, fix incorrect quad clipping with negative offsets  (#12605)	merge-commit	covered-by-upstream-equivalents	client/debug graph; map/quad clipping	05ab16f91,945456bd1	Merge wrapper; both underlying fixes are already reachable from HEAD.	No separate cherry-pick
6fa9e4c7ab383d424a7246fec4da7decaa4fa5ab	2026-08-15	cleanup visibility check for ungrouped quads	candidate	covered-equivalent	map/quad visibility	762732489	Reachable local follow-up `fad6610c1` applies the same cleanup after the alpha visibility correction.	Source history and current-source audit
27284513f02367a8e7faea072e7ad202d641802b	2026-08-15	Cleanup: Move visibility check for ungrouped quads (#12606)	merge-commit	covered-by-fad6610c1	map/quad visibility	6fa9e4c7a	Merge wrapper; the cleanup is covered by reachable local follow-up.	No separate cherry-pick
48b12022525d653e8e09d0c52756386c8d9fc479	2026-08-14	server: Limit clients for old 64 player backcompat.	candidate	covered-equivalent	server info/backcompat		Current CacheServerInfo already limits legacy protocol client counts and packet entries.	Source audit
75f1ccc48fc6960fbe213c21725869e0c770b890	2026-08-14	server: Bound the work unauthenticated packets can cost	candidate	adapted-local	network/server safety	212d08cfe,48b3aea80,dd35e93d3	152d2029e adapts the batch around local KCP and FakeNet receive paths.	Historical full C++ test recorded; revalidated in the current P1 batch.
212d08cfed05bff165b6359dadba47700647ca2e	2026-08-14	server: Fix sv_connlimit not applying under a flood	candidate	adapted-local	network/server safety	75f1ccc48	152d2029e expands connlimit tracking to 256 LRU entries.	Historical full C++ test recorded; revalidated in the current P1 batch.
59784659d370ee397922cdab79c01efbce32ad62	2026-08-11	Fix 0.1s/0.5s skip durations not shown for demos shorter than 1s	exact-patch-equivalent	covered-equivalent	demo UI		Local d7b8cea34 covers short-demo skip duration labels.	Source audit
d429ac72099a0bfe2e43db95e50669a4df7b9bcc	2026-08-11	Fix invalid demo skip duration index with short demos	candidate	covered-equivalent	demo UI		Local d429ac720 already fixes invalid skip duration index.	Source audit
297a2a4868cc9b5e48f31104a754ebd8137b0995	2026-08-15	Fix 0.1s/0.5s skip durations not shown for demos shorter than 1s, fix invalid demo skip duration index with short demos (#12586)	merge-commit	covered-by-d429ac720	demo UI	d429ac720	Merge wrapper covered by local short-demo fixes.	No separate cherry-pick
0d2d717c828c9e8a85dbcde589060b2e7d0882f0	2026-08-15	client: Fix text alignment in credits settings page	candidate	covered-equivalent	client/settings credits		QmClient Contributors UI already provides the relevant layout; upstream alignment only applies to its standalone page, which is intentionally not adopted.	Source audit
20713ba92f01ce25254890eff7c8f3173be1549a	2026-08-14	client: Fix vanilla tuning comparison	exact-patch-equivalent	covered-equivalent	client/tuning		Current `gameclient.cpp` already sets `VanillaTuning.m_LaserBounceNum = 1`; reachable local tuning comparison fix.	Source audit
50b4dfa02f790f5cfad7267fb6885f324e002de0	2026-08-11	Fix UB when typing slash in editor save filename input	candidate	covered-equivalent	editor/file-browser		5bb8c21e6 is an explicit cherry-pick of this commit.	Source reviewed; no duplicate cherry-pick.
7931f6d0f5892d7b19ea3dd69c0f46a859de9cbf	2026-08-15	client: Fix text alignment in credits settings page (#12612)	merge-commit	covered-by-0d2d717c	client/settings credits	0d2d717c	Merge wrapper; standalone upstream alignment is intentionally covered by the existing Qm Contributors UI.	No separate cherry-pick
48b3aea803e0093f567b7bee5854807923f7e937	2026-08-15	server: Rate limit unauthenticated work per second	candidate	adapted-local	network/server safety	75f1ccc48	152d2029e uses wall-clock second budgets for pre-connection decompression and ban replies.	Historical full C++ test recorded; revalidated in the current P1 batch.
e32ca00b6f4f0cc994e9b24099ce7a57bfa88853	2026-08-15	server: Receive packets even when the socket has none pending	candidate	covered-equivalent	server/network		Local 152d2029e adapts unconditional PumpNetwork receive to the QmClient KCP/FakeNet path while retaining the upstream drain semantics; HEAD contains this local batch.	Source audit
dd35e93d3714bd2906a48a7e141ec3b4ca3358f9	2026-08-15	server: Don't allow sv_connlimit 0	candidate	adapted-local	network/server safety	75f1ccc48	152d2029e raises sv_connlimit minimum to one.	Historical full C++ test recorded; revalidated in the current P1 batch.
3db8f36be7734e28a0306ec638db5a08227d8d25	2026-08-15	client: Fix vanilla tuning comparison (#12608)	merge-commit	covered-by-20713ba9	client/tuning	20713ba92	Merge wrapper; current vanilla tuning comparison is already covered locally.	No separate cherry-pick
6f47c5b00a0c90fd702104e52038fa036955e713	2026-08-15	Fix UB when typing slash in editor save filename input (#12616)	merge-commit	covered-by-5bb8c21e6	editor/file-browser	50b4dfa02	Merge wrapper; `5bb8c21e6` explicitly cherry-picks the underlying UB correction.	No separate cherry-pick
d2b7841394a4094cffecd1832e5e87e11b8d3c8d	2026-08-15	macOS: Improve DDNet-Server	candidate	adapted-local	macOS server bundle		Copy `data/autoexec_server.cfg` into Server.app resources; use white monospaced output on black server console background.	game-server-launcher, game-client, 2891 C++ tests, Rust tests, quick gate pass
7cf4372dad3d499a00c015ebd78644ca388a2192	2026-08-15	Fix double free of Windows command line in `map_replace_area` tool	exact-patch-equivalent	covered-equivalent	tools/map_replace_area		Current HEAD contains upstream-equivalent `d1290f517`; command-line storage remains valid until process exit.	Source history and current-source audit
19e7d08a96cecbd4a36e8f269ef6c78fbee53204	2026-08-15	Fix Easter season detection not including Holy Saturday	exact-patch-equivalent	covered-equivalent	base/time		Current HEAD contains upstream-equivalent `873a6394e`; each day offset is based on the original timestamp.	Source history and current-source audit
1f5095abe6e9ee1108be86662a81b2d8f975ea39	2026-08-15	Fix assertion printing address instead of time value	candidate	covered-equivalent	base/time		5e022ee92 applies the dereferenced time value and adds a DST correction.	Source reviewed; no duplicate cherry-pick.
1a9d8e7157904751117c62b16d8cc0cb8e35fa25	2026-08-15	Fix Easter season detection not including Holy Saturday (#12620)	merge-commit	covered-by-873a6394e	base/time	19e7d08a9	Merge wrapper; the underlying Easter correction is reachable from HEAD.	No separate cherry-pick
3ffc300b4729a7eadb9b44952be967b191be1397	2026-08-15	Fix assertion printing address instead of time value (#12621)	merge-commit	covered-by-5e022ee92	base/time	1f5095abe	Merge wrapper; local `5e022ee92` covers the dereferenced time value and DST correction.	No separate cherry-pick
3977cdf82ec1dece8bde1a2fd83f31a8df874b9c	2026-08-15	Fix double free of Windows command line in `map_replace_area` tool (#12619)	merge-commit	covered-by-d1290f517	tools/map_replace_area	7cf4372da	Merge wrapper; the underlying lifetime correction is reachable from HEAD.	No separate cherry-pick
6f764e4f1137ed30b184ff8988824ef33d4b5dc5	2026-08-11	Fix OpenGL shader location not bound for textured tile program	exact-patch-equivalent	covered-equivalent	graphics/opengl		Current backend binds attributes on m_pTileProgramTextured, fixing the same target-object mismatch.	Source audit
98f0064af0b2f03b95c3b3c4fcbcfeebe7156ef2	2026-08-11	Fix OpenGL shader programs leaked on shutdown, cleanup context too	candidate	covered-equivalent	graphics/opengl	4c0d1c491	Shutdown cleanup is already present in the local OpenGL backend; source audit found no missing path.	Static source audit; no duplicate cherry-pick.
c9a9931f8aee0032df190f51f33bd35c8ddedaff	2026-08-12	Fix OOB read/write on unexpected shader log message	candidate	covered-equivalent	graphics/opengl		4c0d1c491 adds Log.size() guards in both shader log paths.	Source reviewed; no duplicate cherry-pick.
33fbdc853c56db45ad6f7e3c0c154b9000e1e6b9	2026-08-12	Fix OOB reads/writes in GLSL shader compiler	candidate	covered-equivalent	graphics/glsl		4c0d1c491 bounds tokens and replaces unsafe lookahead parsing.	Source reviewed; no duplicate cherry-pick.
7c366145d1721c5b82c12d8fffc55233a76c02c2	2026-08-15	Fix incorrect texture resampling with Vulkan and OpenGL 3.3	candidate	covered-equivalent	graphics/opengl-vulkan	4c0d1c491	Current OpenGL3/Vulkan paths already pass original dimensions to ResizeImage.	Static source audit; no duplicate cherry-pick.
f8cd61af8476fe70513a051ef06d18fb76c82c1b	2026-08-15	Fail Vulkan `CreateDescriptorPools` if any pool allocation failed	candidate	covered-equivalent	graphics/vulkan	local backend	Current CreateDescriptorPools fails on the first allocation failure.	Static source audit; no duplicate cherry-pick.
65d5275d0982f165a6a98b9a61890e71376b0d6c	2026-08-11	Remove duplicate `SetTextureReplaceType` calls	exact-patch-equivalent	covered-equivalent	graphics/opengl		Current shader initialization avoids duplicate texture replacement calls.	Source audit
c63b1b9440324d69df9330e9e4bd2e08ba4ae134	2026-08-15	Use `std::size` instead of hard-coding size	exact-patch-equivalent	covered-equivalent	graphics/opengl		Current DetachAllShaders uses std::size(aShaders) for GL array capacity.	Source audit
abfe01656cbd3d6af1c871196df86dbe764a2ceb	2026-08-16	"client: Fix ""Show own name plate"""	candidate	covered-equivalent	client/nameplates		Current `CNamePlates::OnRender` derives `RenderNames` from `ClNamePlates || ClNamePlatesOwn`; local nameplate rendering has broader Qm-specific gates.	Source audit
821d5ae4b4711bf8158276dc07c27c140f48cac1	2026-08-15	console: Fix validating quoted victim arguments	candidate	adapted-local	console parsing	ece1c1b4d	Unified quoted/unquoted victim validation; empty quoted victims now return PARSEARGS_MISSING_VALUE without calling SetVictim. QmClient retains its single-victim API instead of upstream's later multi-victim refactor.	game-client; C++ 2924/2924; quick gate blocked by unrelated src/test/net_test.cpp:45 format drift
40d807be0333eabee9b482d311b327e4ee5bec7e	2026-08-15	"server: Don't crash on ""add_map_votes <dir>"" without slash"	exact-patch-equivalent	covered-equivalent	server/votes		Local fa55be948 handles fs_parent_dir failure by resetting the directory to root instead of asserting; current code matches the upstream safety intent.	Source audit
8fb321d0a1daf64c51251765b88cb3aed10cb2a8	2026-08-15	network: fix handling of extended types in snapshots	candidate	not-applicable	graphics/snapshot	Rust snapshot builder	QmClient uses the Rust CSnapshotBuilder; the upstream C++ NewItemRaw implementation is not present. Rust type_id_from_i32 resolves UUID types before size checks.	Source audit; no C++ cherry-pick.
eb81209f4c2d12d0ba1e2af0eb676b2a8f2c1be5	2026-08-15	physics: check dragger range earlier	exact-patch-equivalent	covered-equivalent	physics/dragger		Local e4aa468a1 orders the cheap range/alive checks before collision tracing in prediction and server beam ticks; collision/physics result is unchanged.	Source audit
25dc1ab1490541902c31e462d9c14bba35862e4d	2026-08-16	Speed up integration test by disabling --track-origins in valgrind	candidate	adapted-local	CI/Valgrind		Removed --track-origins=yes; memcheck detection remains, origin stacks are intentionally not collected.	Python compile passes; Linux Valgrind integration run pending.
a65e9772936fa7df9c09cbc6f0e5eb394ee0fa5c	2026-08-16	cmake: Forbid in-source builds	candidate	adapted-local	build/CMake		Current worktree uses the same source/build-directory guard with QmClient-specific remediation text.	Existing CMake configure and previous build evidence; no duplicate cherry-pick
82fabe040c728674b083c5da7d85069d06f518fb	2026-08-16	server: Fix memory leak in `hot_reload`	exact-patch-equivalent	covered-equivalent	server/hot_reload		Local 9e32d4886 deletes the previous saved tee before replacing it; current source contains the same ownership fix.	Source audit
b3f3b85be68908a674f9fee4bf371f948bdc5dc7	2026-08-16	"client: Fix ""Show own name plate"" (#12622)"	merge-commit	covered-by-abfe01656	client/nameplates	abfe01656	Merge wrapper; current QmClient nameplate gate covers own-nameplate-only rendering.	No separate cherry-pick
46b3c10b489618965ae7b5c35e0dbfb6ac7560e0	2026-08-16	server: Fix memory leak in `hot_reload` (#12632)	merge-commit	covered-by-82fabe040	server/hot_reload	82fabe040	Merge wrapper covered by local hot_reload ownership fix.	No separate cherry-pick
2a5a3fe6ac18a69a66dced418378faceb9a983e7	2026-08-16	"server: Don't crash on ""add_map_votes <dir>"" without slash (#12626)"	merge-commit	covered-by-40d807be0	server/votes	40d807be0	Merge wrapper covered by local add_map_votes safety fix.	No separate cherry-pick
ed2b08f5d944bf84c1309989187fa886cc8a70db	2026-08-15	server: Reset snapshots on timeout	candidate	covered-equivalent	timeout/snapshot		Already present in QmClient commit 54ec87f53.	Source audit
969e04167fc1986ea96d877a151ce19ac4c1530e	2026-08-16	cmake: Forbid in-source builds (#12630)	merge-commit	covered-by-a65e97729	build/CMake	a65e97729	Merge wrapper; local in-source guard is recorded at the underlying candidate.	No separate cherry-pick
00e909d29109c9d23edc478b18f336848c59ba35	2026-08-16	server: check dragger range earlier (#12629)	merge-commit	covered-by-eb81209f4	physics/dragger	eb81209f4	Merge wrapper covered by local dragger range ordering.	No separate cherry-pick
70021782db27b29f9267f27ee1ff3585b6ecca9b	2026-08-16	Various graphics and shader compiler fixes (#12634)	merge-commit	covered-by-upstream-equivalents	graphics	33fbdc853,c9a9931f8	Merge wrapper; shader/compiler fixes are already covered by local equivalents.	No separate cherry-pick
d62e5de553b4364da38bc075a78d0b33a10e214f	2026-08-16	Fix `CLaser`/`CPlasma` `m_Layer`/`m_Number` being uninitialized	candidate	covered-equivalent	prediction/entity init		Already present in QmClient history.	Source audit
63c260989c180571f4957163330d6df1b2a83202	2026-08-16	network: fix handling of extended types in snapshots (#12628)	merge-commit	not-applicable	network/snapshot	8fb321d0a	QmClient uses the Rust snapshot builder; upstream C++ implementation is not present.	No separate cherry-pick
27ac6310ef143a28ffbcc928b154213fd116b296	2026-08-16	net: Fix timeout protection resending other clients' data	candidate	covered-equivalent	timeout/network		Already present in QmClient commit 54ec87f53.	Source audit
6dc7aae6364c7ae908a3011f29c6c9c3f9a886b1	2026-08-16	Fix `CLaser`/`CPlasma` `m_Layer`/`m_Number` being uninitialized (#12636)	merge-commit	covered-by-d62e5de55	prediction/entity init	d62e5de55	Merge wrapper; initialization is already present in QmClient history.	Source audit
13ec5da02319575fce4cadab86b28f52dd401886	2026-08-17	editor: fix font typer newline column desyncing at layer borders	candidate	adapted-local	editor/font_typer		Current CFontTyper tracks m_LineStart and clamps right-boundary cursor.	Source audit
31a832e0124c65b9fddc96b5d6d2c030c9dbb18d	2026-08-17	ci: raise the smoke_test `the end` timeout to match its neighbours	exact-patch-equivalent	deferred-policy	CI/integration		CI policy changes are deferred until the local runtime and release workflow is stabilized.	CI batch pending
0e2f227eeeb3962d9a0ea1fb5b5a93788071fd4b	2026-08-17	editor: move the font typer line start left when typing before it	candidate	covered-equivalent	editor/font_typer		Current `CFontTyper::PlaceTile` updates `m_LineStart` before placing non-empty tiles; local editor sync history already contains the behavior.	Source audit
ed6af41dc74221178f88999a75203e610c3e8c0d	2026-08-17	Fix ci smoke_test timeout again (#12640)	merge-commit	covered-by-31a832e	CI/integration	31a832e	Merge wrapper; CI timeout remains deferred as policy.	No separate cherry-pick
c226028a79d198cc42f8b08f171ecdf514bcb20a	2026-08-17	Bound the work unauthenticated packets can cost (#12609)	merge-commit	covered-by-75f1ccc4	network/server safety	75f1ccc48	Merge wrapper; local KCP/FakeNet adaptation is recorded on the underlying candidate.	No separate cherry-pick
