local_base	6d37ad1c112a3dd9b178be5966cb3b25fc786bb9	upstream_base	a5a61806e434ef22141b622db989087fbba8ed21	upstream_head	1d507dad90812cd0873b151aac60ad7bff5127b6
commit	kind	subject	historical_disposition	historical_notes	historical_validation	review_status	current_evidence	gaps
0ae2a0cd0dc3dc57032978a852c3b7d992c8a50f	commit	Rename `NET_MAX_PAYLOAD` to disentangle its uses	deferred-protocol-batch	Naming change spans payload limits and protocol semantics; defer with the atomic compatibility batch.	P4 protocol batch pending	verified-code-equivalent	network.h:90 已改名为 NET_MAX_CONNLESS_PAYLOAD，96 行保留 NET_MAX_CHUNK_SIZE，734 行用它定义数据缓冲区。	未做网络包边界的运行时验证。
ea69065a075a1b38008dd9bcd7be9237e79c2bbf	merge	Update translations for upcoming 20.0 (#12570)	deferred-policy	Merge wrapper inherits the controlled i18n refresh policy; do not copy generated language files independently.	Translation batch pending	verified-wrapper	已验证父链与相对第一父提交的非合并提交（47a37ea0d,76b9797d9,02843442c）；继承底层结论：deferred-policy。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
2a5c920f97e441ecae601fb3533bf2752cfa5ba7	merge	Rename `NET_MAX_PAYLOAD` to disentangle its uses (#12569)	deferred-protocol-batch	Merge wrapper inherits the atomic payload compatibility batch.	P4 protocol batch pending	verified-wrapper	已验证父链与相对第一父提交的非合并提交（0ae2a0cd0）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
9b0aaeb3356e147b66bb5bdb16171570eb729f20	merge	cmake: Add some security-related build flags (#12565)	covered-by-548fac1d0	Merge wrapper; local build flags are already present.	No separate cherry-pick	verified-wrapper	已验证父链及 merge 相对第一父提交的 stable patch-id 与 548fac1d0 一致；继承其结论：官方编译加固已按当前 CMake 结构适配（本地提交 f714ee456）。	同底层提交：仅 CMake 配置级核对，Linux/macOS 平台构建验证待补。
10a899f577cf8a191ebd219b78fc8b4434784154	commit	build: Fix clang spam on unsupported flag	covered-equivalent	Local f82a38287 contains the same unsupported-flag handling.	Source audit	verified-code-equivalent	CMakeLists.txt检测unused-command-line-argument并在C/C++探测函数设置CMAKE_REQUIRED_FLAGS，覆盖完整diff	当前Windows使用MSVC；Clang配置未执行
822466e6615810c600b56d3830bec0be5a358004	commit	Bump dev version to 20.1	deferred-policy	Do not raise QmClient version during this sync; requires a dedicated release/version plan.	Version plan pending	not-applicable-local-versioning	本地版本由 QmClient 自己的方案维护（version.h: QMCLIENT_VERSION 3.0.2、DDNET_VERSION_NUMBER 19090），官方 dev 版本号 20.1 不适用于本地。	无。
dc754939632b442a8e69eb976b37e54ce5546f4a	commit	Scale conn_timeout with the integration test timeout multiplier	adapted-local	Scaled `conn_timeout` and passed it to both client and server while preserving the local timeout multiplier of 20.	Python compile; Linux Valgrind integration pending	verified-adapted-code	integration_test.py按timeout_multiplier计算并封顶conn_timeout=1000，同时传给客户端/服务端；保留本地Valgrind乘数20	Linux Valgrind集成未执行；本地20与官方25是保留差异
4d766c2b7626f807f1702a723a458907279e2b02	merge	Scale conn_timeout with the integration test timeout multiplier (#12579)	covered-by-dc7549396	Merge wrapper covered by adapted candidate.	No separate cherry-pick	verified-wrapper	已验证父链及merge相对第一父提交的stable patch-id与dc7549396一致；继承该条源码复核：integration_test.py按timeout_multiplier计算并封顶conn_timeout=1000，同时传给客户端/服务端；保留本地Valgrind乘数20	Linux Valgrind集成未执行；本地20与官方25是保留差异
98e9121b618c0a80c373b29791932d3cede69761	merge	Bump dev version to 20.1 (#12578)	covered-by-822466e	Merge wrapper; version bump intentionally deferred.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（822466e66）；继承底层结论：not-applicable-local-versioning。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
b68c684a2d6ec2076b71f2d2b54c96847185548e	commit	serverbrowser: reset prepared sqlite statement	adapted-local	Reset prepared sqlite load statement before stepping; local source now matches upstream behavior.	game-client; C++ 2924/2924; dedicated SQLite reload test pending	verified-code-equivalent	serverbrowser_ping_cache.cpp:Load在sqlite3_step前reset已准备语句；空语句由短路保护	源码核对通过；专门的重复Load运行测试未执行
b0e1a030f67e2b1be51dee72f18509dbf75417da	commit	client: Don't crash when demo is starting during quit	covered-equivalent	Local 4b1cadef1 contains the equivalent quit/demo guard.	Source audit	verified-code-equivalent	client.cpp:DemoRecorder_HandleAutoStart入口要求STATE_ONLINE，覆盖退出时自动录制启动路径	源码核对通过；退出并发场景未做运行验证
b0ea56484265249367fad828d7c5afe6fef24ba9	commit	Make spectate menu more legible	covered-equivalent	Local b19f3de8b contains the adapted spectate menu readability fix.	Source audit	verified-code-equivalent	spectator.cpp:352-368 已有 >96 与 >64 两档字号/行高/头像缩放设置。	未做 100 人以上观战菜单的视觉验证。
596c89b70a929cbafdaaa11557d27890d7a2444b	merge	client: Don't crash when demo is starting during quit (#12587)	covered-by-b0e1a030f	Merge wrapper covered by local demo quit guard.	No separate cherry-pick	verified-wrapper	已验证父链及merge相对第一父提交的stable patch-id与b0e1a030f一致；继承该条源码复核：client.cpp:DemoRecorder_HandleAutoStart入口要求STATE_ONLINE，覆盖退出时自动录制启动路径	源码核对通过；退出并发场景未做运行验证
c965b34c4633ac35a87363e471f37aa97150aa18	commit	server: Use a bitset for the team start time check	covered-equivalent	Local c2f463533 applies std::bitset<NUM_DDRACE_TEAMS>; preserves QmClient 128-player team indexing and avoids undefined shifts.	Source audit	verified-code-equivalent	teams.cpp使用bitset<NUM_DDRACE_TEAMS>，set/reset/none/test完整覆盖官方diff；本地NUM_DDRACE_TEAMS=MAX_CLIENTS+1=129	源码核对通过；未额外修改玩法或验证满员服务器
92c171c8348d3970e892ff954d27d8478352da56	merge	Make spectate menu more legible (#12588)	covered-by-b0ea5648	Merge wrapper covered by local spectate menu fix.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（b0ea56484）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
10e5321d97ebf46720e1788e2f438a6913465ec0	merge	serverbrowser: reset prepared sqlite statement (#12584)	covered-by-b68c684a2	Merge wrapper covered by adapted candidate.	No separate cherry-pick	verified-wrapper	已验证父链及merge相对第一父提交的stable patch-id与b68c684a2一致；继承该条源码复核：serverbrowser_ping_cache.cpp:Load在sqlite3_step前reset已准备语句；空语句由短路保护	源码核对通过；专门的重复Load运行测试未执行
e3f2c21d80b7fb82fb08ca629730a5eaa6114a60	merge	Fix undefined shift in the team start time check (#12590)	covered-by-c965b34c4	Merge wrapper covered by local bitset adaptation.	No separate cherry-pick	verified-wrapper	已验证父链及merge相对第一父提交的stable patch-id与c965b34c4一致；继承该条源码复核：teams.cpp使用bitset<NUM_DDRACE_TEAMS>，set/reset/none/test完整覆盖官方diff；本地NUM_DDRACE_TEAMS=MAX_CLIENTS+1=129	源码核对通过；未额外修改玩法或验证满员服务器
5f6a85cce7aaa5702fb57955acb14f19714e96e4	commit	sv_vote_majority: Fix explanation	covered-equivalent	Local 5e022ee92 carries the corrected sv_vote_majority description.	Source audit	verified-code-equivalent	config_variables.h:599 的 sv_vote_majority 说明已改为“非投票玩家被忽略(0)或计为反对(1)”。	无额外运行时缺口。
a219dc98c735855b8cbb0f880b832782ed57ce79	commit	Fix 20.1 version number...	covered-by-822466e	Version correction belongs to the deferred release plan.	No separate cherry-pick	not-applicable-local-versioning	该提交修正官方 20.1 的版本号，本地不采用官方版本号（见 822466e66）。	无。
29b069d3ed3a3d63ab7f962ca4f8525c3f3f7833	merge	build: Fix clang spam on unsupported flag (#12577)	covered-equivalent	QmClient already routes warning flags through add_*_compiler_flag_if_supported; merge wrapper has no missing behavior.	Source audit	verified-wrapper	已验证父链与相对第一父提交的非合并提交（10a899f57）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
49ec20d3c2780f1edb2c912dfa6a5f0e47d773b6	merge	sv_vote_majority: Fix explanation (#12592)	covered-by-5f6a85cce	Merge wrapper covered by local config description fix.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（5f6a85cce）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
677e4f7f32128704a3e430f9a1aeadad7a4cbbcf	commit	server: Only build team masks when a sound event fired	covered-equivalent	Current HEAD `54ec87f53` already limits team-mask construction to sound events while preserving 128-player behavior.	Source history and current-source audit	verified-code-equivalent	character.cpp:911-917 只在 SoundEvents 命中时构建两个 TeamMask。	未做 128 人服务器的耗时对比。
b7a65b684eee6ee2b5a1034f27b165f98eb223c8	merge	Fix 20.1 version number... (#12594)	covered-by-822466e	Merge wrapper; version correction remains deferred with the release plan.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（a219dc98c）；继承底层结论：not-applicable-local-versioning。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
36cdfb1726e6e405e8a2372d84187f0b4ea29b0d	commit	client: Fix mouse not being focussed on macOS	covered-equivalent	Local input focus handling already contains the equivalent fix.	Source audit	verified-code-equivalent	input.cpp:985-987 在 FOCUS_GAINED 且已抓取鼠标时先切绝对模式再切相对模式，注释带 SDL issue 链接。	未在 macOS 上验证鼠标焦点恢复。
80699e9f37a5b651fbd59b5939437e94ebbf2540	merge	client: Fix mouse not being focussed on macOS (#12593)	covered-by-36cdfb172	Merge wrapper covered by local macOS focus handling.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（36cdfb172）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
eaa09b526d593321efd2fca997a285d76ed5342c	merge	Add strict, unified error handling for all tiles layers to `IMap` (#11572)	covered-by-860f6aa2b	Merge wrapper; local equivalent is recorded at 860f6aa2b.	Source audit	verified-wrapper	已验证父链与相对第一父提交的非合并提交（6258cceaa,860f6aa2b）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
f4f7ba09d7b933c4de86df489b2a2d33e680f7d8	commit	Fill projectile teammask once per tick	covered-equivalent	Local server tick path already caches projectile team masks once per tick.	Source audit	adapted-worktree	projectile.h:56 新增 m_TeamMask；projectile.cpp:46、110、123 维护该掩码，143/145/219/237/239 直接复用。	未做投掷物可见性与爆炸特效实测。
cee0914d62233a94c33156e84313c3a678805632	commit	Don't return stale chunks from already-disconnected peers	covered-equivalent	Current local 5373d7486 and follow-up 6c0126f99 reset/guard pending chunks for offline peers.	Source audit	adapted-worktree	network.h:250 与 network.cpp:137 有 CPacketChunkUnpacker::Reset；network_client.cpp:182-184 与 network_server.cpp:984-986 在连接已断开时停止返回缓存区块。	未做断线后残留区块的实测。
d8ec091e8fc0f9d6923567d3426a2631fc67cec2	merge	Fill projectile teammask once per tick (#12600)	covered-by-f4f7ba09	Merge wrapper covered by local projectile team-mask caching.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（f4f7ba09d）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
b943a87114b50fa1ed8ba5ace9b64cfde1afd46d	merge	Don't return stale chunks from already-disconnected peers (#12601)	covered-by-cee0914d6	Merge wrapper covered by local equivalent.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（cee0914d6）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
5cd3754982cb9cd60bf3a6feb008766bc80fb882	commit	Allow passing `all` as argument to `kick`	covered-equivalent	Local e44c70b62 uses victim parsing and supports kick all.	Source audit	verified-code-equivalent	server.cpp:3909、3913 使用 pResult->GetVictim()，4845 注册参数为 v[id]，因此 kick all 可用。	未做控制台命令实测。
a91bf68a34ecd5af4ef3f4161fe3d3a615237915	commit	Change default to 128 players in autoexec_server.cfg	covered-equivalent	`data/autoexec_server.cfg` already defaults `sv_max_clients 128`; reachable local commit `54ec87f53`.	Source audit	verified-code-equivalent	data/autoexec_server.cfg:59 已是 sv_max_clients 128。	无额外运行时缺口。
5dd7366484e53e09c0e5949b937971a5ce984563	commit	server: Support clients based on old DDNet	covered-equivalent	Local 128-player baseline includes old-DDNet compatibility (`01bbf415e`) and subsequent mapping/timeout repairs; retain mixed 0.6/0.7/128 runtime validation gap.	Source audit; mixed-session runtime pending	adapted-worktree	server.cpp:1059-1061 在 DoSnapshot 跳过未识别为 DDNet 的 0.6 客户端；gamecontext.cpp:1187 起按 m_DDNetVersionKickTick 踢出旧客户端，player.h/player.cpp 有对应字段。	未做旧版客户端实机联机验证。
7879324b87b52073950dc240122fe8640ddb6159	merge	Allow passing `all` as argument to `kick` (#12602)	covered-by-5cd375498	Merge wrapper covered by local equivalent.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（5cd375498）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
51b63860a0a45809bbfc56c8d38a3d75da0bae95	commit	server: Build each player's CNetObj_ClientInfo only when it changes	covered-equivalent	Current CPlayer caches CNetObj_ClientInfo and CGameContext invalidates it through OnClientInfoChange; local 54ec87f53 retains the behavior.	Source and history audit	adapted-worktree	engine/server.h:435 新增 OnClientInfoChange 接口，gamecontext.h:376 实现；server.cpp:428、470、506 在名字、战队、国家变化时调用，并在未变化时提前返回。	未做 CNetObj_ClientInfo 重建频率的实测。
adac08c6c4c32a849cae4ae64b5e82f7219ad38d	commit	shared: Inline CVariableInt::Pack	covered-equivalent	`CVariableInt::Pack` is already inline in `compression.h`; `compression.cpp` no longer owns the definition. Reachable local commit `54ec87f53`.	Source audit	verified-code-equivalent	compression.h:15 中 CVariableInt::Pack 已内联，compression.cpp 只保留 Unpack 等实现。	未做 64k 整数的耗时对比。
09acd3bf6d6a11dddafdc9717c9c8ce65b7b7f92	commit	server: Ask which dragger beam uses the dragger id when snapping	covered-equivalent	Current DraggerBeamUsingDraggerId eliminates the per-snapshot MAX_CLIENTS scan; local 54ec87f53 retains the behavior.	Source and history audit	verified-code-equivalent	dragger.cpp:157-182 新增 DraggerBeamUsingDraggerId 并让 WillDraggerBeamUseDraggerId 复用它；dragger.cpp:197 的 Snap 直接调用一次。	未做拖拽光束快照的实测。
cd9a8cda95ee15191ca711875671548c197a85f3	merge	server: Support clients based on old DDNet (#12580)	covered-equivalent	Merge wrapper; underlying old-DDNet support is covered by the existing 128-player baseline, pending mixed-session runtime validation.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（5dd736648）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
762732489372a5ec376f7c2fc47cd03919f98c43	commit	Fix ineffective alpha-based visibility check for quad layers	covered-equivalent	Current HEAD contains the same alpha-positive check via reachable `4d4bc50f5`, with local follow-up `fad6610c1`.	Source history and current-source audit	verified-code-equivalent	render_layer.cpp:1066-1068 用 Color.a > 0.0f 判断可见并设置 AnyVisible，与官方意图一致（本地已合并后续 6fa9e4c7a 的写法）。	未做地图渲染的视觉验证。
05ab16f91ac4c7e7b6016b2450bce80d1e719809	commit	Fix debug graphs not showing negative maximum value correctly	covered-equivalent	Current HEAD contains upstream-equivalent `2cf799930`; max initialization uses `numeric_limits<float>::lowest()`.	Source history and current-source audit	verified-code-equivalent	graph.cpp:97 的 m_MaxValue 已初始化为 std::numeric_limits<float>::lowest()。	未做调试图形界面的视觉验证。
945456bd1d071e0853a56946afa8cfbb60aa2998	commit	Fix incorrect quad clipping with negative offsets	covered-equivalent	Current HEAD contains upstream-equivalent `79ef57d15`; clipping maxima use `numeric_limits<float>::lowest()`.	Source history and current-source audit	verified-code-equivalent	render_layer.cpp:1349 的 aQuadOffsetMax 已初始化为 std::numeric_limits<float>::lowest()。	未做负偏移四边形的视觉验证。
59fd7d47409ed7d2926d11c39be390a9a937faf4	merge	Fix ineffective alpha-based visibility check for quad layers (#12604)	covered-by-4d4bc50f5	Merge wrapper; the underlying fix and local follow-up are reachable from HEAD.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（762732489）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
9422d4a0c9828ccb21bcbf4679ba747548b6eff6	merge	Fix debug graphs not showing negative maximum value correctly, fix incorrect quad clipping with negative offsets  (#12605)	covered-by-upstream-equivalents	Merge wrapper; both underlying fixes are already reachable from HEAD.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（945456bd1,05ab16f91）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
6fa9e4c7ab383d424a7246fec4da7decaa4fa5ab	commit	cleanup visibility check for ungrouped quads	covered-equivalent	Reachable local follow-up `fad6610c1` applies the same cleanup after the alpha visibility correction.	Source history and current-source audit	verified-code-equivalent	render_layer.cpp:1066-1076 已是整理后的形式：命中时置 AnyVisible = true，末尾按 AnyVisible 决定是否渲染。	未做地图渲染的视觉验证。
27284513f02367a8e7faea072e7ad202d641802b	merge	Cleanup: Move visibility check for ungrouped quads (#12606)	covered-by-fad6610c1	Merge wrapper; the cleanup is covered by reachable local follow-up.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（6fa9e4c7a）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
48b12022525d653e8e09d0c52756386c8d9fc479	commit	server: Limit clients for old 64 player backcompat.	covered-equivalent	Current CacheServerInfo already limits legacy protocol client counts and packet entries.	Source audit	adapted-worktree	server.cpp:2632、2651、2671、2878、3189 已按 SERVERINFO_64_LEGACY 区分名称长度与客户端数上限。	未用旧客户端实测服务器列表显示。
75f1ccc48fc6960fbe213c21725869e0c770b890	commit	server: Bound the work unauthenticated packets can cost	adapted-local	152d2029e adapts the batch around local KCP and FakeNet receive paths.	Historical full C++ test recorded; revalidated in the current P1 batch.	adapted-worktree	network.h:848 的 UnpackPacket 增加 AllowDecompression 与 pDecompressed；network.cpp:304-391 拒绝不允许的压缩包并记录是否尝试解压；network_server.cpp:1048-1069 按令牌/握手预算决定是否允许解压并统计；配置 sv_preconn_decompress_per_second 存在。	未做伪造压缩包 CPU 消耗实测。
212d08cfed05bff165b6359dadba47700647ca2e	commit	server: Fix sv_connlimit not applying under a flood	adapted-local	152d2029e expands connlimit tracking to 256 LRU entries.	Historical full C++ test recorded; revalidated in the current P1 batch.	adapted-worktree	network.h:125-126 为 NET_CONNLIMIT_IPS = 256 并注明按最近最少使用淘汰；CSpamConn 有 m_LastSeen；network_server.cpp:340、355、361 用 m_LastSeen 刷新与选淘汰项。	未做多地址连接洪泛实测。
59784659d370ee397922cdab79c01efbce32ad62	commit	Fix 0.1s/0.5s skip durations not shown for demos shorter than 1s	covered-equivalent	Local d7b8cea34 covers short-demo skip duration labels.	Source audit	verified-code-equivalent	menus_demo.cpp:193 的 DemoLengthSeconds 已改为 float 计算。	未做短 demo 的 UI 实测。
d429ac72099a0bfe2e43db95e50669a4df7b9bcc	commit	Fix invalid demo skip duration index with short demos	covered-equivalent	Local d429ac720 already fixes invalid skip duration index.	Source audit	verified-code-equivalent	menus_demo.cpp:201-207 在 NumDurationLabels < 2 时把索引归零，其余情况夹紧到 NumDurationLabels - 1。	未做短 demo 快捷键实测。
297a2a4868cc9b5e48f31104a754ebd8137b0995	merge	Fix 0.1s/0.5s skip durations not shown for demos shorter than 1s, fix invalid demo skip duration index with short demos (#12586)	covered-by-d429ac720	Merge wrapper covered by local short-demo fixes.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（d429ac720,59784659d）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
0d2d717c828c9e8a85dbcde589060b2e7d0882f0	commit	client: Fix text alignment in credits settings page	covered-equivalent	QmClient Contributors UI already provides the relevant layout; upstream alignment only applies to its standalone page, which is intentionally not adopted.	Source audit	not-applicable-local-architecture	本地已按 bc396d820 把鸣谢页改成菜单弹窗（menus_settings.cpp:5536-5552 的 ShowPopupMessage），menus_settings_credits.cpp 不存在，该提交修改的 DoLabel 对齐代码在本地没有对应实现。	若之后恢复独立鸣谢页面需重新核对对齐。
20713ba92f01ce25254890eff7c8f3173be1549a	commit	client: Fix vanilla tuning comparison	covered-equivalent	Current `gameclient.cpp` already sets `VanillaTuning.m_LaserBounceNum = 1`; reachable local tuning comparison fix.	Source audit	verified-code-equivalent	gameclient.cpp:4129-4134 用 VanillaTuning（m_LaserBounceNum = 1）与 33 * sizeof(CTuneParam) 比较。	未做原版服务器模式判定的联机实测。
50b4dfa02f790f5cfad7267fb6885f324e002de0	commit	Fix UB when typing slash in editor save filename input	covered-equivalent	5bb8c21e6 is an explicit cherry-pick of this commit.	Source reviewed; no duplicate cherry-pick.	verified-code-equivalent	file_browser.cpp:364 起改为先用 aFilename 构造并校验文件名，输入框里删除斜杠/反斜杠的 SetRange 循环已不存在。	未做编辑器保存路径的交互实测。
7931f6d0f5892d7b19ea3dd69c0f46a859de9cbf	merge	client: Fix text alignment in credits settings page (#12612)	covered-by-0d2d717c	Merge wrapper; standalone upstream alignment is intentionally covered by the existing Qm Contributors UI.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（0d2d717c8）；继承底层结论：not-applicable-local-architecture。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
48b3aea803e0093f567b7bee5854807923f7e937	commit	server: Rate limit unauthenticated work per second	adapted-local	152d2029e uses wall-clock second budgets for pre-connection decompression and ban replies.	Historical full C++ test recorded; revalidated in the current P1 batch.	adapted-worktree	network.h 有 m_BudgetStart；network_server.cpp:134-137 按 wall clock 每秒重置 m_NumPreConnDecompress/m_NumBanReplies，m_NumRecvPackets 仍按批次重置；配置已改名为 sv_max_packets_per_recv、sv_ban_replies_per_second、sv_preconn_decompress_per_second。	未做 60k pps 洪泛压测。
e32ca00b6f4f0cc994e9b24099ce7a57bfa88853	commit	server: Receive packets even when the socket has none pending	covered-equivalent	Local 152d2029e adapts unconditional PumpNetwork receive to the QmClient KCP/FakeNet path while retaining the upstream drain semantics; HEAD contains this local batch.	Source audit	verified-code-equivalent	server.h:441 与 server.cpp:3115 的 PumpNetwork 已无 PacketWaiting 参数，3595/3813 处无条件调用。	未做高负载下的收包实测。
dd35e93d3714bd2906a48a7e141ec3b4ca3358f9	commit	server: Don't allow sv_connlimit 0	adapted-local	152d2029e raises sv_connlimit minimum to one.	Historical full C++ test recorded; revalidated in the current P1 batch.	verified-code-equivalent	config_variables.h:764 的 sv_connlimit 下限已是 1。	无额外运行时缺口。
